Date,High,Close,Low,Index
2014/7/3,"2,920.45","2,914.80","2,889.71",473
2014/7/4,"2,918.48","2,911.08","2,904.73",474
2014/7/7,"2,919.85","2,909.62","2,897.16",475
2014/7/8,"2,923.97","2,923.69","2,889.23",476
2014/7/9,"2,924.84","2,880.61","2,880.09",477
2014/7/10,"2,891.24","2,876.90","2,872.58",478
2014/7/11,"2,899.32","2,892.87","2,869.95",479
2014/7/14,"2,927.80","2,927.80","2,891.42",480
2014/7/15,"2,930.87","2,925.13","2,908.72",481
2014/7/16,"2,932.47","2,907.06","2,898.60",482
2014/7/17,"2,901.95","2,890.52","2,874.21",483
2014/7/18,"2,912.35","2,897.00","2,876.68",484
2014/7/21,"2,903.37","2,894.52","2,883.09",485
2014/7/22,"2,933.68","2,931.31","2,889.79",486
2014/7/23,"2,943.63","2,919.56","2,908.91",487
2014/7/24,"2,942.09","2,938.45","2,907.21",488
2014/7/25,"2,967.13","2,967.13","2,938.73",489
2014/7/28,"3,036.49","3,035.29","2,979.45",490
2014/7/29,"3,067.96","3,057.03","3,029.41",491
2014/7/30,"3,065.87","3,058.97","3,043.69",492
2014/7/31,"3,089.15","3,089.05","3,052.81",493
2014/8/1,"3,106.62","3,058.65","3,057.10",494
2014/8/4,"3,111.22","3,111.22","3,062.89",495
2014/8/5,"3,119.19","3,118.93","3,093.21",496
2014/8/6,"3,130.33","3,122.62","3,087.57",497
2014/8/7,"3,132.69","3,086.34","3,084.92",498
2014/8/8,"3,108.38","3,100.81","3,083.88",499
2014/8/11,"3,146.91","3,146.77","3,107.74",500
2014/8/12,"3,150.26","3,150.05","3,132.37",501
2014/8/13,"3,161.17","3,151.46","3,116.34",502
2014/8/14,"3,164.71","3,129.17","3,126.75",503
2014/8/15,"3,167.03","3,162.78","3,125.21",504
2014/8/18,"3,196.87","3,196.87","3,169.73",505
2014/8/19,"3,208.56","3,203.57","3,181.50",506
2014/8/20,"3,211.62","3,197.24","3,188.40",507
2014/8/21,"3,199.90","3,192.98","3,159.21",508
2014/8/22,"3,216.08","3,212.50","3,188.02",509
2014/8/25,"3,213.98","3,186.19","3,178.56",510
2014/8/26,"3,191.68","3,143.27","3,132.87",511
2014/8/27,"3,162.27","3,153.17","3,141.41",512
2014/8/28,"3,162.48","3,128.23","3,122.90",513
2014/8/29,"3,163.47","3,163.42","3,126.05",514
2014/9/1,"3,204.65","3,204.56","3,167.12",515
2014/9/2,"3,249.98","3,249.98","3,205.92",516
2014/9/3,"3,280.85","3,277.32","3,255.04",517
2014/9/4,"3,304.76","3,304.76","3,270.94",518
2014/9/5,"3,327.33","3,326.79","3,299.11",519
2014/9/9,"3,339.33","3,336.28","3,309.67",520
2014/9/10,"3,341.44","3,337.43","3,310.12",521
2014/9/11,"3,376.96","3,330.68","3,314.72",522
2014/9/12,"3,361.66","3,361.66","3,319.72",523
2014/9/15,"3,381.74","3,379.95","3,349.35",524
2014/9/16,"3,387.26","3,289.85","3,287.99",525
2014/9/17,"3,312.28","3,311.88","3,266.78",526
2014/9/18,"3,332.27","3,329.81","3,298.85",527
2014/9/19,"3,361.33","3,358.10","3,323.06",528
2014/9/22,"3,352.29","3,308.43","3,300.75",529
2014/9/23,"3,346.37","3,345.85","3,308.40",530
2014/9/24,"3,397.44","3,396.85","3,331.25",531
2014/9/25,"3,427.73","3,394.84","3,384.08",532
2014/9/26,"3,404.14","3,403.22","3,376.05",533
2014/9/29,"3,430.21","3,428.75","3,411.42",534
2014/9/30,"3,447.76","3,444.72","3,425.93",535
2014/10/8,"3,489.71","3,489.71","3,438.89",536
2014/10/9,"3,504.71","3,499.16","3,459.30",537
2014/10/10,"3,500.81","3,482.06","3,465.02",538
2014/10/13,"3,474.91","3,474.64","3,430.00",539
2014/10/14,"3,496.13","3,464.74","3,446.51",540
2014/10/15,"3,483.75","3,483.46","3,437.28",541
2014/10/16,"3,501.61","3,442.78","3,442.78",542
2014/10/17,"3,451.96","3,419.32","3,365.74",543
2014/10/20,"3,454.64","3,454.64","3,422.27",544
2014/10/21,"3,462.51","3,425.04","3,422.82",545
2014/10/22,"3,441.74","3,393.29","3,391.43",546
2014/10/23,"3,398.39","3,348.92","3,338.95",547
2014/10/24,"3,370.65","3,350.71","3,340.66",548
2014/10/27,"3,352.83","3,351.84","3,318.64",549
2014/10/28,"3,429.62","3,429.54","3,358.67",550
2014/10/29,"3,489.18","3,477.86","3,431.97",551
2014/10/30,"3,498.93","3,489.96","3,468.48",552
2014/10/31,"3,512.22","3,510.72","3,470.55",553
2014/11/3,"3,538.25","3,533.41","3,513.57",554
2014/11/4,"3,538.93","3,523.30","3,508.77",555
2014/11/5,"3,528.56","3,515.16","3,503.04",556
2014/11/6,"3,531.94","3,531.79","3,491.16",557
2014/11/7,"3,563.74","3,511.74","3,496.51",558
