Date,Value1,Value2,Index
2013-08-30,-0.6901743707954773,"2,799.24",271
2013-09-02,0.46098344881066644,"2,812.89",272
2013-09-03,1.4137912983637804,"2,855.01",273
2013-09-04,0.028034411135312746,"2,855.86",274
2013-09-05,-0.025279147100758882,"2,855.10",275
2013-09-06,0.7127667225791817,"2,876.20",276
2013-09-09,2.123088161499198,"2,939.44",277
2013-09-10,1.0572550641169176,"2,971.76",278
2013-09-11,-0.33635907578104424,"2,961.37",279
2013-09-12,0.5844824001044626,"2,979.32",280
2013-09-13,-0.22417383402859276,"2,972.44",281
2013-09-16,-0.006851294143744598,"2,972.23",282
2013-09-17,-1.851,"2,917.22",283
2013-09-18,0.5583,"2,933.50",284
2013-09-23,1.8269,"2,987.09",285
2013-09-24,-0.491,"2,972.43",286
2013-09-25,-0.5205,"2,956.96",287
2013-09-26,-1.8454,"2,902.39",288
2013-09-27,0.3718,"2,913.18",289
2013-09-30,1.0184,"2,942.85",290
2013-10-08,1.5187,"2,987.54",291
2013-10-09,0.8706,"3,013.55",292
2013-10-10,-0.8808,"2,987.01",293
2013-10-11,1.5418,"3,033.06",294
2013-10-14,0.6117,"3,051.61",295
2013-10-15,-0.1092,"3,048.28",296
2013-10-16,-2.3629,"2,976.25",297
2013-10-17,-0.2105,"2,969.99",298
2013-10-18,0.5522,"2,986.39",299
2013-10-21,2.1962,"3,051.97",300
2013-10-22,-1.0615,"3,019.58",301
2013-10-23,-1.7914,"2,965.48",302
2013-10-24,-0.7151,"2,944.28",303
2013-10-25,-1.5889,"2,897.50",304
2013-10-28,-0.1449,"2,893.30",305
2013-10-29,-1.1184,"2,860.94",306
2013-10-30,1.5408,"2,905.02",307
2013-10-31,-1.3552,"2,865.65",308
2013-11-01,0.017,"2,866.14",309
2013-11-04,0.2015,"2,871.91",310
2013-11-05,0.7687,"2,893.99",311
2013-11-06,-1.0968,"2,862.25",312
2013-11-07,-0.9359,"2,835.46",313
2013-11-08,-1.3964,"2,795.87",314
2013-11-11,0.4523,"2,808.51",315
2013-11-12,0.9954,"2,836.47",316
2013-11-13,-2.0181,"2,779.23",317
2013-11-14,1.0787,"2,809.20",318
2013-11-15,1.9978,"2,865.33",319
2013-11-18,2.8443,"2,946.82",320
2013-11-19,-0.1655,"2,941.95",321
2013-11-20,0.6987,"2,962.50",322
2013-11-21,-0.4544,"2,949.04",323
2013-11-22,-0.4713,"2,935.14",324
2013-11-25,-0.179,"2,929.89",325
2013-11-26,0.1183,"2,933.35",326
2013-11-27,1.212,"2,968.90",327
2013-11-28,0.9046,"2,995.76",328
2013-11-29,0.4337,"3,008.75",329
2013-12-02,-2.9852,"2,918.94",330
2013-12-03,1.4235,"2,960.49",331
2013-12-04,1.355,"3,000.60",332
2013-12-05,-0.3197,"2,991.01",333
2013-12-06,-0.4578,"2,977.32",334
2013-12-09,0.4715,"2,991.35",335
2013-12-10,0.0833,"2,993.85",336
2013-12-11,-1.2894,"2,955.24",337
2013-12-12,0.2431,"2,962.43",338
2013-12-13,0.0848,"2,964.94",339
2013-12-16,-1.5142,"2,920.04",340
2013-12-17,-0.5532,"2,903.89",341
2013-12-18,-0.0562,"2,902.26",342
2013-12-19,-0.9694,"2,874.12",343
2013-12-20,-1.7546,"2,823.69",344
2013-12-23,0.0106,"2,823.99",345
2013-12-24,0.5053,"2,838.26",346
2013-12-25,1.0666,"2,868.54",347
2013-12-26,-1.726,"2,819.03",348
2013-12-27,1.6903,"2,866.68",349
2013-12-30,0.1665,"2,871.45",350
2013-12-31,0.7578,"2,893.21",351
2014-01-02,0.2564,"2,900.63",352
2014-01-03,-0.9068,"2,874.32",353
2014-01-06,-2.4713,"2,803.29",354
2014-01-07,0.3858,"2,814.10",355
2014-01-08,0.4165,"2,825.83",356
2014-01-09,-1.1441,"2,793.50",357
2014-01-10,-1.2351,"2,758.99",358
2014-01-13,-0.3833,"2,748.42",359
2014-01-14,1.471,"2,788.85",360
