date,Close,Volume
2014-09-03,1.439,1353607
2014-09-04,1.457,1117499
2014-09-05,1.46,1027087
2014-09-09,1.458,1329015
2014-09-10,1.467,1363599
2014-09-11,1.471,2196310
2014-09-12,1.483,1223789
2014-09-15,1.483,1252126
2014-09-16,1.438,1643378
2014-09-17,1.44,1753725
2014-09-18,1.456,1622086
2014-09-19,1.46,882396
2014-09-22,1.442,1239092
2014-09-23,1.461,1049934
2014-09-24,1.479,719672
2014-09-25,1.469,645671
2014-09-26,1.472,613749
2014-09-29,1.489,682812
2014-09-30,1.5,591021
2014-10-08,1.515,596334
2014-10-09,1.519,1037143
2014-10-10,1.512,918651
2014-10-13,1.505,1270657
2014-10-14,1.493,1408687
2014-10-15,1.502,937982
2014-10-16,1.482,906413
2014-10-17,1.47,1305246
2014-10-20,1.495,789582
2014-10-21,1.474,911274
2014-10-22,1.464,739403
2014-10-23,1.438,1142806
2014-10-24,1.441,830802
2014-10-27,1.453,875690
2014-10-28,1.483,972288
2014-10-29,1.489,658943
2014-10-30,1.481,573939
2014-10-31,1.473,898438
2014-11-03,1.491,1521726
2014-11-04,1.47,1206133
2014-11-05,1.471,1089532
2014-11-06,1.492,1318310
2014-11-07,1.477,1562924
2014-11-10,1.476,688923
2014-11-11,1.425,1039873
2014-11-12,1.44,1206082
2014-11-13,1.407,1989274
2014-11-14,1.406,1631300
2014-11-17,1.432,2288325
2014-11-18,1.441,2235199
2014-11-19,1.464,1893386
2014-11-20,1.451,893743
2014-11-21,1.462,1392309
2014-11-24,1.47,515242
2014-11-25,1.496,1763351
2014-11-26,1.51,996985
2014-11-27,1.518,925768
2014-11-28,1.524,1460914
2014-12-01,1.505,638226
2014-12-02,1.517,1008288
2014-12-03,1.559,3634521
2014-12-04,1.579,3579510
2014-12-05,1.529,1602144
2014-12-08,1.518,1561446
2014-12-09,1.464,1483176
2014-12-10,1.536,1652100
2014-12-11,1.546,1758038
2014-12-12,1.569,3555972
2014-12-15,1.601,3119282
2014-12-16,1.59,2275194
2014-12-17,1.595,1601654
2014-12-18,1.577,1693570
2014-12-19,1.541,1484180
2014-12-22,1.47,2255974
2014-12-23,1.461,2203349
2014-12-24,1.48,1904740
2014-12-25,1.48,1462511
2014-12-26,1.488,749342
2014-12-29,1.463,987715
2014-12-30,1.423,670700
2014-12-31,1.43,1859286
2015-01-05,1.424,2227002
2015-01-06,1.502,5273028
2015-01-07,1.474,5820003
2015-01-08,1.493,3789821
2015-01-09,1.503,3869420
2015-01-12,1.54,3358343
2015-01-13,1.551,2253852
2015-01-14,1.536,1413702
2015-01-15,1.534,1966261
2015-01-16,1.592,2330181
2015-01-19,1.579,7977037
2015-01-20,1.657,5223034
2015-01-21,1.668,3539652
2015-01-22,1.683,3227682
2015-01-23,1.638,1632896
2015-01-26,1.686,3345613
2015-01-27,1.688,2664797
2015-01-28,1.668,2591469
2015-01-29,1.652,1348225
2015-01-30,1.623,922306
2015-02-02,1.639,2259329
2015-02-03,1.693,2628277
2015-02-04,1.698,2268565
2015-02-05,1.709,3652200
2015-02-06,1.661,2145361
2015-02-09,1.645,1900737
2015-02-10,1.685,1999417
2015-02-11,1.705,2278237
2015-02-12,1.72,2737831
2015-02-13,1.761,2894763
2015-02-16,1.83,2431714
2015-02-17,1.82,2654238
2015-02-25,1.803,2709116
2015-02-26,1.814,2348805
2015-02-27,1.863,3111361
2015-03-02,1.914,3172607
2015-03-03,1.883,4994665
2015-03-04,1.94,3423007
2015-03-05,1.938,3487308
2015-03-06,1.88,3228519
2015-03-09,1.927,3978675
2015-03-10,1.972,4325495
2015-03-11,1.96,3144627
2015-03-12,1.94,3560430
2015-03-13,1.992,4168893
2015-03-16,2.061,4007189
2015-03-17,2.053,3411386
2015-03-18,2.099,4991478
2015-03-19,2.095,3171081
2015-03-20,2.126,5335737
2015-03-23,2.206,4724743
2015-03-24,2.273,7047471
2015-03-25,2.288,7446609
2015-03-26,2.19,3636202
2015-03-27,2.228,6775769
2015-03-30,2.193,3703909
2015-03-31,2.247,5873711
2015-04-01,2.296,5257417
2015-04-02,2.369,5195590
2015-04-03,2.391,6321722
2015-04-07,2.438,3927645
2015-04-08,2.377,5641121
2015-04-09,2.466,5934667
2015-04-10,2.424,6546874
2015-04-13,2.451,3947227
2015-04-14,2.44,4012894
2015-04-15,2.33,5447841
2015-04-16,2.375,5385600
2015-04-17,2.368,3534355
2015-04-20,2.318,5087122
2015-04-21,2.496,4654025
2015-04-22,2.524,4533162
2015-04-23,2.598,4687813
2015-04-24,2.645,4511858
2015-04-27,2.65,3354762
2015-04-28,2.583,5309015
2015-04-29,2.723,4034541
2015-04-30,2.748,7016809
2015-05-04,2.74,6728004
2015-05-05,2.67,5041356
2015-05-06,2.738,7597775
2015-05-07,2.686,6396025
2015-05-08,2.894,5851599
2015-05-11,3.05,5692288
2015-05-12,3.129,8768275
2015-05-13,3.036,7302386
2015-05-14,3.008,6678157
2015-05-15,3.016,9669899
2015-05-18,3.157,5332171
2015-05-19,3.185,8042297
2015-05-20,3.264,6081225
2015-05-21,3.41,5914396
2015-05-22,3.382,8721782
2015-05-25,3.327,7936813
2015-05-26,3.463,7064685
2015-05-27,3.463,6649790
2015-05-28,3.29,9724501
2015-05-29,3.384,11029589
2015-06-01,3.568,6905522
2015-06-02,3.768,9408448
2015-06-03,3.79,11312070
2015-06-04,3.751,10838017
2015-06-05,3.703,7853468
2015-06-08,3.533,7004367
2015-06-09,3.526,8024676
2015-06-10,3.66,8315775
2015-06-11,3.666,8255892
2015-06-12,3.704,7650872
2015-06-15,3.512,6693332
2015-06-16,3.402,7907814
2015-06-17,3.545,9467387
2015-06-18,3.32,7969935
2015-06-19,3.15,7740591
2015-06-23,3.208,8647159
2015-06-24,3.199,7390080
2015-06-25,3.03,4183574
2015-06-26,2.767,4186874
2015-06-29,2.49,3025610
2015-06-30,2.733,5498479
2015-07-01,2.56,8513714
2015-07-02,2.47,9082066
2015-07-03,2.457,10150517
2015-07-06,2.33,6778303
2015-07-07,2.097,2027704
2015-07-08,1.899,3956613
2015-07-09,2.089,1466701
2015-07-10,2.298,571718
2015-07-13,2.528,1835720
2015-07-14,2.657,4015740
2015-07-15,2.405,3747267
2015-07-16,2.489,4253141
2015-07-17,2.688,6152503
2015-07-20,2.69,8164417
2015-07-21,2.707,7875079
2015-07-22,2.754,9025412
2015-07-23,2.82,5963832
2015-07-24,2.74,6432457
2015-07-27,2.466,6865934
2015-07-28,2.395,6679256
2015-07-29,2.573,7529226
2015-07-30,2.4,6987260
2015-07-31,2.368,5169819
2015-08-03,2.24,2227807
2015-08-04,2.442,3029092
2015-08-05,2.358,2658624
2015-08-06,2.35,2253453
2015-08-07,2.459,2562424
2015-08-10,2.622,3762882
2015-08-11,2.565,3637730
2015-08-12,2.489,3317293
2015-08-13,2.558,4253217
2015-08-14,2.525,3392291
2015-08-17,2.505,3678989
2015-08-18,2.343,3849366
2015-08-19,2.422,3798636
2015-08-20,2.362,3520157
2015-08-21,2.226,3612022
2015-08-24,2.003,2749950
2015-08-25,1.803,1948999
2015-08-26,1.74,2353641
2015-08-27,1.801,2527132
2015-08-28,1.941,2512523
2015-08-31,1.83,2160590
2015-09-01,1.725,1523962
2015-09-02,1.69,1771556
2015-09-07,1.763,1964202
2015-09-08,1.888,3320887
2015-09-09,1.943,4516089
2015-09-10,1.899,3162328
2015-09-11,1.922,2223667
2015-09-14,1.73,2586836
2015-09-15,1.633,2288038
2015-09-16,1.796,2421366
2015-09-17,1.763,2508527
2015-09-18,1.825,1769144
2015-09-21,1.965,3301091
2015-09-22,1.939,3695108
2015-09-23,1.915,2171927
2015-09-24,1.933,2236869
2015-09-25,1.845,1978567
2015-09-28,1.979,2162329
2015-09-29,1.952,1963694
2015-09-30,1.935,1583677
2015-10-08,2.08,2298005
2015-10-09,2.103,1803510
2015-10-12,2.22,4309404
2015-10-13,2.226,1942782
2015-10-14,2.182,1914012
2015-10-15,2.298,2391768
2015-10-16,2.329,3004237
2015-10-19,2.294,3166378
2015-10-20,2.391,2478902
2015-10-21,2.22,4242407
2015-10-22,2.348,3700304
2015-10-23,2.427,3567893
2015-10-26,2.398,2832338
2015-10-27,2.444,3160521
2015-10-28,2.36,2692978
2015-10-29,2.352,2725336
2015-10-30,2.349,3543975
2015-11-02,2.311,2367417
2015-11-03,2.305,2026363
2015-11-04,2.489,3304479
2015-11-05,2.443,4424903
2015-11-06,2.548,3280867
2015-11-09,2.583,3146623
2015-11-10,2.609,3159369
2015-11-11,2.68,2452364
2015-11-12,2.648,2654557
2015-11-13,2.58,2845473
2015-11-16,2.67,2734824
2015-11-17,2.569,3409453
2015-11-18,2.516,2942607
2015-11-19,2.624,3625920
2015-11-20,2.645,3210896
2015-11-23,2.619,3022552
2015-11-24,2.663,2836073
2015-11-25,2.746,3345482
2015-11-26,2.674,3290004
2015-11-27,2.496,5056396
2015-11-30,2.52,5203564
2015-12-01,2.507,3351539
2015-12-02,2.454,3197754
2015-12-03,2.561,3812405
2015-12-04,2.53,2576537
2015-12-07,2.571,2552821
2015-12-08,2.531,2415193
