index,ATR,Date,modified_chg,chg,period_flunc,c10,c20,c40
1852,0.0164107925867543,2020-03-02,3.6183,3.6183,0.060851316438550906,-0.07704104975330628,-0.09981806739024439,-0.06647735937812121
1866,0.02184962346023817,2020-03-20,1.4036303054372175,1.4671,0.10699005981141319,-0.002879962414846187,0.04009631195677698,0.048191214470284155
1946,0.016078175243844712,2020-07-20,3.0723,3.0723,0.07586710230709792,0.03102005348092185,0.03446423976161079,-0.011205260076156263
2094,0.016233521465116134,2021-03-01,1.8885,1.8885,0.06018482890611665,-0.059689784337568406,-0.05024843808964746,-0.03638866758913732
2102,0.018239412458826442,2021-03-11,2.4505,2.4505,0.07679552735070194,-0.02461722435384818,0.0009739044950003303,0.01085600886234759
2197,0.013507067120392504,2021-07-29,2.5,2.5,0.07063454792973833,0.0365264622864812,0.020373949534965755,0.02222127305150092
2318,0.010988917274231035,2022-01-26,0.661,0.661,0.05004868348522229,-0.008320104014768936,-0.0006896006781071963,-0.07070023202189475
2344,0.014448203558434814,2022-03-10,1.8035,1.8035,0.08241270591098271,-0.008732879992337926,-0.05829518245378794,-0.09883727612297664
2376,0.02086861032590165,2022-04-27,3.435000837898908,3.5088,0.12860447185813406,0.0483686541813298,0.07342887909501665,0.19586363081295305
2466,0.014811186932797578,2022-09-06,1.3555,1.3555,0.05085759340588181,-0.047054040505709396,-0.08111799231883535,-0.05763636435402827
2475,0.014251639439739757,2022-09-20,0.6957,0.6957,0.05655983425804578,-0.05844803552067746,-0.04924157158345802,-0.008987557437141915
2486,0.014256748900241246,2022-10-12,2.1207,2.1207,0.052401318125054885,0.002257341191429453,0.025554562793175046,0.06487654427052
2539,0.016035095758549438,2022-12-26,1.0587,1.0587,0.05700986256748486,0.04066488447020438,0.07868812335556498,0.07929156635657576
2621,0.010622524172436155,2023-04-28,1.3489,1.3489,0.05149161606897534,-0.016393901748616314,-0.03681276143722214,-0.02779061416617156
